 Area Name, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
New York State,"Claims Adjusters, Examiners, and Investigators",15630.0,82310,80070.0,54890,96020.0
New York State,"Insurance Appraisers, Auto Damage",320.0,87500,84130.0,62470,100020.0
New York State,Compliance Officers,20420.0,88140,82000.0,54040,105200.0
New York State,Cost Estimators,9360.0,87740,79770.0,50450,106390.0
New York State,Human Resources Specialists,46760.0,87400,79770.0,50840,105690.0
New York State,Labor Relations Specialists,6910.0,97790,82860.0,54920,119230.0
New York State,Logisticians,4180.0,87450,81940.0,55860,103250.0
New York State,Project Management Specialists,55910.0,115020,105130.0,68410,138330.0
New York State,Management Analysts,52850.0,118170,104430.0,70200,142150.0
New York State,"Meeting, Convention, and Event Planners",8000.0,82580,77620.0,45700,101020.0
New York State,Fundraisers,8660.0,80870,79090.0,50800,95910.0
New York State,"Compensation, Benefits, and Job Analysis Specialists",8460.0,87610,82730.0,56820,103010.0
New York State,Training and Development Specialists,22860.0,79270,65560.0,38630,99590.0
New York State,Market Research Analysts and Marketing Specialists,75260.0,91330,81460.0,52530,110730.0
New York State,"Business Operations Specialists, All Other",34240.0,86260,79270.0,50170,104300.0
New York State,Accountants and Auditors,111900.0,108020,100550.0,62660,130700.0
New York State,Appraisers and Assessors of Real Estate,2990.0,82780,76960.0,46870,100740.0
New York State,Budget Analysts,3260.0,96430,84140.0,65000,112140.0
New York State,Credit Analysts,6730.0,133520,125380.0,73800,163380.0
New York State,Financial Analysts,49560.0,135990,111530.0,77490,165240.0
New York State,Personal Financial Advisors,20830.0,161910,134810.0,72690,206530.0
New York State,Insurance Underwriters,7860.0,109250,99990.0,62750,132500.0
New York State,Financial Risk Specialists,10700.0,149550,134530.0,89970,179330.0
New York State,Financial Examiners,13510.0,120370,104380.0,66010,147560.0
New York State,Credit Counselors,1470.0,65700,62010.0,44720,76180.0
New York State,Loan Officers,14720.0,108030,98350.0,53580,135260.0
New York State,"Tax Examiners and Collectors, and Revenue Agents",3750.0,75660,65570.0,51180,87900.0
New York State,Tax Preparers,7380.0,55520,48040.0,28570,68990.0
New York State,"Financial Specialists, All Other",4630.0,109330,84610.0,55940,136030.0
New York State,Computer and Mathematical Occupations,264730.0,112250,104050.0,62070,137350.0
New York State,Computer Systems Analysts,25330.0,115490,105960.0,72150,137160.0
New York State,Information Security Analysts,7550.0,138740,133390.0,82240,166990.0
New York State,Computer and Information Research Scientists,820.0,137120,132790.0,80990,165190.0
New York State,Computer Network Support Specialists,11200.0,84990,79410.0,52660,101160.0
New York State,Computer User Support Specialists,38010.0,67470,62740.0,42430,79990.0
New York State,Computer Network Architects,11440.0,131940,131790.0,83810,156000.0
New York State,Database Administrators,4970.0,110530,104530.0,63200,134190.0
New York State,Database Architects,3990.0,138340,134740.0,84580,165230.0
New York State,Network and Computer Systems Administrators,23250.0,106060,102110.0,68400,124890.0
New York State,Computer Programmers,11570.0,94910,83420.0,54350,115200.0
New York State,Software Developers,77680.0,134410,132500.0,82880,160180.0
New York State,Software Quality Assurance Analysts and Testers,9420.0,122130,108230.0,74660,145860.0
New York State,Web Developers,7140.0,82770,71890.0,43670,102330.0
New York State,Web and Digital Interface Designers,7200.0,107490,102110.0,62650,129910.0
New York State,"Computer Occupations, All Other",6030.0,99240,92750.0,54820,121450.0
New York State,Actuaries,2420.0,153590,136200.0,82580,189100.0
New York State,Operations Research Analysts,5240.0,106180,101600.0,63000,127770.0
New York State,Statisticians,1320.0,127900,106650.0,69280,157210.0
New York State,Data Scientists,9960.0,127290,129080.0,69090,156380.0
New York State,Architecture and Engineering Occupations,100750.0,94240,82160.0,56130,113290.0
New York State,"Architects, Except Landscape and Naval",11150.0,106230,101400.0,64560,127070.0
New York State,Landscape Architects,1120.0,87950,80250.0,56780,103530.0
New York State,Cartographers and Photogrammetrists,410.0,68050,62550.0,51470,76350.0
New York State,Surveyors,1400.0,85550,79750.0,51890,102370.0
New York State,Aerospace Engineers,380.0,109260,105810.0,76400,125690.0
New York State,Biomedical Engineers,570.0,110150,105280.0,68600,130920.0
New York State,Chemical Engineers,1000.0,110940,103080.0,63150,134830.0
New York State,Civil Engineers,15000.0,103490,101190.0,65230,122620.0
New York State,Computer Hardware Engineers,1250.0,124870,122140.0,79500,147560.0
New York State,"Electronics Engineers, Except Computer",2460.0,106460,102910.0,71140,124120.0
New York State,Environmental Engineers,2710.0,100710,94400.0,66270,117930.0
New York State,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1530.0,109930,105600.0,74970,127410.0
New York State,Industrial Engineers,11510.0,99220,99440.0,69300,114180.0
New York State,Materials Engineers,610.0,114650,105600.0,76240,133860.0
New York State,Mechanical Engineers,8140.0,101030,100680.0,67180,117950.0
New York State,Nuclear Engineers,300.0,117160,110860.0,77610,136940.0
New York State,"Engineers, All Other",4710.0,112410,103560.0,67750,134740.0
New York State,Architectural and Civil Drafters,7330.0,66410,63290.0,44650,77290.0
New York State,Electrical and Electronics Drafters,1320.0,79910,78710.0,49230,95250.0
New York State,Mechanical Drafters,2070.0,71350,64020.0,48220,82920.0
New York State,"Drafters, All Other",760.0,67130,61700.0,45690,77840.0
New York State,Civil Engineering Technicians,2140.0,61530,62950.0,40230,72190.0
New York State,Electrical and Electronic Engineering Technicians,4430.0,70490,63950.0,45190,83140.0
New York State,Electro-Mechanical Technicians,370.0,67640,62550.0,49240,76840.0
New York State,Environmental Engineering Technicians,400.0,59800,62050.0,43050,68170.0
New York State,Industrial Engineering Technicians,2860.0,63550,62260.0,41670,74490.0
New York State,Mechanical Engineering Technicians,1330.0,66110,62490.0,48370,74980.0
New York State,"Engineering Technicians, Except Drafters, All Other",2080.0,60980,61410.0,43390,69770.0
New York State,Surveying and Mapping Technicians,1850.0,62200,50280.0,40910,72840.0
New York State,"Life, Physical, and Social Science Occupations",64790.0,90180,80950.0,50410,110070.0
New York State,Food Scientists and Technologists,670.0,94850,94470.0,60610,111970.0
New York State,Biochemists and Biophysicists,1310.0,96960,85500.0,59560,115660.0
New York State,Microbiologists,830.0,84980,80240.0,52500,101220.0
New York State,Zoologists and Wildlife Biologists,460.0,79640,68330.0,62030,88450.0
New York State,"Biological Scientists, All Other",1710.0,110660,103200.0,76720,127630.0
New York State,Conservation Scientists,330.0,82220,73670.0,48940,98850.0
New York State,"Medical Scientists, Except Epidemiologists",6850.0,106760,83110.0,59910,130190.0
New York State,"Life Scientists, All Other",280.0,96740,82430.0,61240,114500.0
New York State,Physicists,1010.0,170630,173880.0,98830,206540.0
New York State,Atmospheric and Space Scientists,380.0,102820,95850.0,51150,128660.0
New York State,Chemists,3490.0,93220,82100.0,59930,109870.0
New York State,Materials Scientists,660.0,122720,124100.0,77640,145270.0
New York State,"Environmental Scientists and Specialists, Including Health",3910.0,92040,83560.0,56750,109680.0
New York State,"Geoscientists, Except Hydrologists and Geographers",650.0,83430,81430.0,57310,96500.0
New York State,"Physical Scientists, All Other",1200.0,117130,108450.0,78580,136410.0
New York State,Economists,750.0,155260,130750.0,79460,193160.0
New York State,Survey Researchers,390.0,88650,84530.0,64230,100860.0
New York State,Clinical and Counseling Psychologists,3900.0,126290,108450.0,67460,155710.0
New York State,School Psychologists,6110.0,101190,101990.0,67370,118110.0
New York State,"Psychologists, All Other",440.0,110230,117660.0,64280,133210.0
New York State,Urban and Regional Planners,1410.0,91570,84570.0,65220,104740.0
New York State,Historians,370.0,54330,39800.0,30190,66400.0
New York State,"Social Scientists and Related Workers, All Other",2330.0,100950,95200.0,69840,116510.0
New York State,Agricultural Technicians,320.0,44640,39740.0,32970,50480.0
New York State,Food Science Technicians,350.0,47490,47820.0,37320,52570.0
New York State,Biological Technicians,3980.0,55630,51570.0,37880,64500.0
New York State,Chemical Technicians,2200.0,61350,60050.0,40500,71770.0
New York State,"Environmental Science and Protection Technicians, Including Health",1870.0,57560,50660.0,38340,67170.0
New York State,Social Science Research Assistants,2860.0,58460,50180.0,33640,70880.0
New York State,Forensic Science Technicians,760.0,84070,82810.0,60390,95910.0
New York State,"Life, Physical, and Social Science Technicians, All Other",6000.0,62090,61930.0,41120,72570.0
New York State,Occupational Health and Safety Specialists,4210.0,87870,82120.0,56480,103560.0
New York State,Occupational Health and Safety Technicians,840.0,63460,64270.0,40660,74860.0
New York State,Community and Social Service Occupations,182400.0,62010,58880.0,38280,73880.0
New York State,"Educational, Guidance, School, and Vocational Counselors",23710.0,72400,63830.0,43360,86910.0
New York State,Marriage and Family Therapists,1220.0,63030,57880.0,32680,78200.0
New York State,Rehabilitation Counselors,4290.0,44290,39760.0,29810,51530.0
New York State,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",20350.0,58400,51580.0,39500,67850.0
New York State,"Child, Family, and School Social Workers",24300.0,71150,64570.0,48880,82280.0
New York State,Healthcare Social Workers,22090.0,64160,60570.0,42920,74780.0
New York State,Mental Health and Substance Abuse Social Workers,11840.0,77410,76700.0,48500,91860.0
New York State,"Social Workers, All Other",2260.0,76590,79350.0,56320,86730.0
New York State,Health Educators,2880.0,64580,63030.0,43610,75060.0
New York State,Probation Officers and Correctional Treatment Specialists,5710.0,79860,79350.0,58820,90370.0
New York State,Social and Human Service Assistants,34440.0,44060,39760.0,32160,50010.0
New York State,Community Health Workers,7800.0,52790,48970.0,36140,61120.0
New York State,"Community and Social Service Specialists, All Other",7820.0,64350,62410.0,47320,72860.0
New York State,Clergy,7380.0,64410,50720.0,34540,79340.0
New York State,"Directors, Religious Activities and Education",4320.0,58150,50530.0,34700,69860.0
New York State,Legal Occupations,121410.0,149930,130210.0,60950,194420.0
New York State,Lawyers,81180.0,186160,170280.0,95340,231570.0
New York State,Judicial Law Clerks,1270.0,98120,85370.0,39940,127210.0
New York State,"Administrative Law Judges, Adjudicators, and Hearing Officers",1260.0,116000,106600.0,82900,132550.0
New York State,"Arbitrators, Mediators, and Conciliators",600.0,72070,62030.0,38580,88810.0
New York State,"Judges, Magistrate Judges, and Magistrates",3410.0,170610,177330.0,99700,206070.0
New York State,Paralegals and Legal Assistants,31030.0,65140,61990.0,43100,76160.0
New York State,"Title Examiners, Abstractors, and Searchers",1480.0,57630,50690.0,38070,67420.0
New York State,"Legal Support Workers, All Other",1190.0,75030,64720.0,43940,90580.0
New York State,"Education, Training, and Library Occupations",646120.0,80220,65050.0,35860,102400.0
New York State,"Business Teachers, Postsecondary",8720.0,125070,105190.0,56760,159230.0
New York State,"Computer Science Teachers, Postsecondary",3490.0,113430,102910.0,58480,140900.0
New York State,"Mathematical Science Teachers, Postsecondary",3690.0,112570,102110.0,58730,139490.0
New York State,"Architecture Teachers, Postsecondary",1070.0,146100,135580.0,94010,172150.0
New York State,"Engineering Teachers, Postsecondary",3270.0,130100,109340.0,78350,155980.0
New York State,"Biological Science Teachers, Postsecondary",4090.0,121700,104750.0,62920,151100.0
New York State,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2360.0,118700,105510.0,63640,146230.0
New York State,"Chemistry Teachers, Postsecondary",1850.0,112750,102240.0,62590,137830.0
New York State,"Environmental Science Teachers, Postsecondary",430.0,108850,85740.0,55920,135320.0
New York State,"Physics Teachers, Postsecondary",1210.0,119950,105230.0,65840,147010.0
New York State,"Anthropology and Archeology Teachers, Postsecondary",650.0,123230,105510.0,71160,149270.0
New York State,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1690.0,115810,103260.0,64870,141280.0
New York State,"Economics Teachers, Postsecondary",1610.0,140030,131820.0,77470,171320.0
New York State,"Political Science Teachers, Postsecondary",1440.0,134360,107480.0,68600,167240.0
New York State,"Psychology Teachers, Postsecondary",3660.0,108840,102010.0,55500,135510.0
New York State,"Sociology Teachers, Postsecondary",1390.0,116930,103140.0,58150,146320.0
New York State,"Social Sciences Teachers, Postsecondary, All Other",2590.0,112610,101670.0,57540,140140.0
New York State,"Health Specialties Teachers, Postsecondary",20050.0,146770,129990.0,66590,186860.0
New York State,"Nursing Instructors and Teachers, Postsecondary",5160.0,99630,100100.0,49550,124670.0
New York State,"Education Teachers, Postsecondary",5270.0,107800,99740.0,49070,137160.0
New York State,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1110.0,97000,80710.0,47270,121860.0
New York State,"Law Teachers, Postsecondary",2380.0,148250,131680.0,73060,185840.0
New York State,"Social Work Teachers, Postsecondary",1980.0,106350,102240.0,61400,128820.0
New York State,"Art, Drama, and Music Teachers, Postsecondary",11790.0,111560,99400.0,56090,139290.0
New York State,"Communications Teachers, Postsecondary",3230.0,104260,82350.0,56890,127950.0
New York State,"English Language and Literature Teachers, Postsecondary",6690.0,105760,101570.0,53890,131700.0
New York State,"Foreign Language and Literature Teachers, Postsecondary",1530.0,101070,83280.0,53510,124850.0
New York State,"History Teachers, Postsecondary",1860.0,104960,101850.0,56300,129280.0
New York State,"Philosophy and Religion Teachers, Postsecondary",2340.0,99530,81750.0,51050,123770.0
New York State,"Recreation and Fitness Studies Teachers, Postsecondary",770.0,90060,81070.0,49720,110230.0
New York State,"Vocational Education Teachers, Postsecondary",4050.0,79380,64370.0,44610,96770.0
New York State,"Postsecondary Teachers, All Other",3300.0,104790,88510.0,54100,130130.0
New York State,"Preschool Teachers, Except Special Education",19430.0,45800,38370.0,30350,53530.0
New York State,"Kindergarten Teachers, Except Special Education",6860.0,88920,80970.0,50840,107950.0
New York State,"Elementary School Teachers, Except Special Education",91890.0,90960,81980.0,53790,109540.0
New York State,"Middle School Teachers, Except Special and Career/Technical Education",34720.0,98180,100350.0,62690,115920.0
New York State,"Career/Technical  Education Teachers, Middle School",1450.0,92820,80970.0,61920,108270.0
New York State,"Secondary School Teachers, Except Special and Career/Technical Education",74210.0,96260,101300.0,58770,115010.0
New York State,"Career/Technical Education Teachers, Secondary School",5590.0,87930,81920.0,57240,103280.0
New York State,"Special Education Teachers, Preschool",3880.0,103610,106470.0,56600,127110.0
New York State,"Special Education Teachers, Kindergarten and Elementary School",18540.0,86370,80900.0,56300,101400.0
New York State,"Special Education Teachers, Middle School",7310.0,101080,102210.0,68340,117450.0
New York State,"Special Education Teachers, Secondary School",17050.0,91030,82050.0,58100,107490.0
New York State,"Special Education Teachers, All Other",2060.0,105080,112710.0,55710,129760.0
New York State,Adult Basic and Secondary Education and Literacy Teachers and Instructors,3070.0,74140,66040.0,46760,87820.0
New York State,Self-Enrichment Education Teachers,27010.0,72240,52230.0,36500,90110.0
New York State,"Substitute Teachers, Short-Term",34860.0,41200,38360.0,29800,46900.0
New York State,Tutors,13490.0,64340,38850.0,30330,81340.0
New York State,"Teachers and Instructors, All Other",2990.0,81110,77030.0,41210,101070.0
New York State,Archivists,770.0,75450,64360.0,45520,90420.0
New York State,Curators,1510.0,94500,79750.0,51160,116170.0
New York State,Museum Technicians and Conservators,1060.0,74740,63810.0,41550,91330.0
New York State,Librarians and Media Collections Specialists,11400.0,79230,79310.0,52780,92450.0
New York State,Library Technicians,4400.0,46980,47120.0,31090,54930.0
New York State,Instructional Coordinators,21260.0,81580,80240.0,48870,97930.0
New York State,"Teaching Assistants, Postsecondary",15070.0,51330,48610.0,34180,59910.0
New York State,"Teaching Assistants, Except Postsecondary",109780.0,35730,30630.0,28390,39400.0
New York State,"Education, Training, and Library Workers, All Other",980.0,63860,61930.0,39280,76150.0
New York State,"Arts, Design, Entertainment, Sports, and Media Occupations",193900.0,92700,80510.0,44630,116730.0
New York State,Art Directors,8220.0,150710,137770.0,88330,181900.0
New York State,"Fine Artists, Including Painters, Sculptors, and Illustrators",3510.0,101390,102110.0,42400,130890.0
New York State,Multimedia Artists and Animators,1000.0,102590,103460.0,56340,125720.0
New York State,Commercial and Industrial Designers,1920.0,84620,81350.0,50260,101810.0
New York State,Fashion Designers,7680.0,95180,83670.0,54970,115290.0
New York State,Floral Designers,1440.0,37410,37360.0,29900,41170.0
New York State,Graphic Designers,17890.0,76600,65770.0,44770,92520.0
New York State,Interior Designers,6250.0,75020,65440.0,40730,92160.0
New York State,Merchandise Displayers and Window Trimmers,7350.0,43060,38690.0,30840,49180.0
New York State,Set and Exhibit Designers,1320.0,87540,83410.0,38410,112100.0
New York State,"Designers, All Other",1110.0,95520,83480.0,52510,117020.0
New York State,Producers and Directors,27510.0,115860,102810.0,54830,146380.0
New York State,Coaches and Scouts,12310.0,60590,50300.0,33740,74020.0
New York State,Music Directors and Composers,1650.0,107420,66140.0,40220,141020.0
New York State,"News Analysts, Reporters, and Journalist",5120.0,98820,80910.0,46380,125040.0
New York State,Public Relations Specialists,25460.0,87470,80710.0,50750,105840.0
New York State,Editors,18550.0,106050,85290.0,56490,130830.0
New York State,Technical Writers,2160.0,88690,83930.0,56780,104650.0
New York State,Writers and Authors,6210.0,105790,83930.0,57310,130030.0
New York State,Interpreters and Translators,2850.0,85540,81340.0,52200,102210.0
New York State,Court Reporters and Simultaneous Captioners,1210.0,106350,105970.0,70170,124440.0
New York State,"Media and Communication Workers, All Other",1060.0,88930,65410.0,41130,112820.0
New York State,Audio and Video Equipment Technicians,4910.0,66210,62090.0,40860,78890.0
New York State,Broadcast Technicians,3290.0,75960,65180.0,41900,92990.0
New York State,Sound Engineering Technicians,1120.0,95360,83440.0,42180,121950.0
New York State,Photographers,3100.0,64780,58260.0,36510,78910.0
New York State,"Camera Operators, Television, Video, and Motion Picture",1540.0,96370,83330.0,42450,123330.0
New York State,Film and Video Editors,4590.0,109960,101720.0,60370,134760.0
New York State,Healthcare Practitioners and Technical Occupations,541760.0,105780,83290.0,52670,132330.0
New York State,Chiropractors,1370.0,100010,80090.0,65140,117450.0
New York State,"Dentists, General",6170.0,182320,168010.0,92700,227130.0
New York State,Dietitians and Nutritionists,4910.0,75030,77650.0,55440,84830.0
New York State,Optometrists,2240.0,142720,133250.0,109040,159560.0
New York State,Pharmacists,18810.0,132850,133640.0,102110,148220.0
New York State,Physician Assistants,13730.0,135710,133360.0,104550,151290.0
New York State,Podiatrists,990.0,176970,167580.0,84060,223430.0
New York State,Occupational Therapists,9030.0,99120,88960.0,65440,115960.0
New York State,Physical Therapists,16030.0,95210,98990.0,70710,107470.0
New York State,Radiation Therapists,1130.0,130700,111080.0,82350,154870.0
New York State,Recreational Therapists,1540.0,61640,61900.0,44740,70090.0
New York State,Respiratory Therapists,6570.0,86650,81360.0,66260,96850.0
New York State,Speech-Language Pathologists,13220.0,102400,101840.0,66720,120240.0
New York State,"Therapists, All Other",870.0,73540,63470.0,44820,87900.0
New York State,Veterinarians,3710.0,133190,128500.0,78570,160500.0
New York State,Registered Nurses,188420.0,96550,99550.0,68440,110610.0
New York State,Nurse Midwives,480.0,129460,131680.0,105420,141490.0
New York State,Nurse Practitioners,14960.0,137280,132400.0,102490,154680.0
New York State,Audiologists,650.0,93080,96070.0,66440,106400.0
New York State,Family Medicine Physicians,3440.0,226410,202820.0,101180,289020.0
New York State,General Internal Medicine Physicians,10120.0,183340,133110.0,74920,237550.0
New York State,"Pediatricians, General",4230.0,184550,175820.0,85470,234090.0
New York State,Psychiatrists,4060.0,206390,201860.0,78450,270360.0
New York State,Radiologists,1990.0,233440,171230.0,79740,310290.0
New York State,"Physicians, All Other",13720.0,220210,205510.0,72740,293950.0
New York State,"Surgeons, All Other",3550.0,228720,137580.0,78710,303720.0
New York State,Dental Hygienists,9970.0,85530,81230.0,66340,95120.0
Capital Region,Physician Assistants,840.0,122340,125760.0,97050,134990.0
New York State,"Healthcare Diagnosing or Treating Practitioners, All Other",690.0,104420,91560.0,60460,126400.0
New York State,Clinical Laboratory Technologists and Technicians,17200.0,74800,78750.0,48690,87850.0
New York State,Cardiovascular Technologists and Technicians,3380.0,73240,66280.0,47650,86030.0
New York State,Diagnostic Medical Sonographers,5900.0,88800,82740.0,71780,97310.0
New York State,Nuclear Medicine Technologists,890.0,99400,102110.0,80580,108810.0
New York State,Radiologic Technologists,13750.0,80030,80270.0,59030,90530.0
New York State,Magnetic Resonance Imaging Technologists,2350.0,93010,98620.0,75380,101830.0
New York State,Emergency Medical Technicians,12000.0,42600,37930.0,32480,47660.0
New York State,Paramedics,5710.0,59310,59180.0,45270,66320.0
New York State,Dietetic Technicians,920.0,45400,47210.0,33680,51260.0
New York State,Pharmacy Technicians,20200.0,40400,38100.0,30660,45260.0
New York State,Psychiatric Technicians,2180.0,44500,48120.0,32030,50730.0
New York State,Surgical Technologists,5770.0,62440,61870.0,46390,70460.0
New York State,Veterinary Technologists and Technicians,4990.0,47270,47730.0,35490,53170.0
New York State,Ophthalmic Medical Technicians,5290.0,45110,47900.0,33230,51050.0
New York State,Licensed Practical and Licensed Vocational Nurses,42110.0,56410,56550.0,45040,62100.0
New York State,Medical Records Specialists,6970.0,58110,50700.0,39960,67190.0
New York State,"Opticians, Dispensing",3560.0,58750,60880.0,43800,66230.0
New York State,Orthotists and Prosthetists,300.0,88670,76010.0,50450,107780.0
New York State,"Health Technologists and Technicians, All Other",5430.0,61870,49470.0,39890,72850.0
New York State,Health Information Technologists and Medical Registrars,1590.0,94550,78290.0,52480,115590.0
New York State,Athletic Trainers,790.0,65370,61930.0,46370,74870.0
New York State,"Healthcare Practitioners and Technical Workers, All Other",890.0,77460,79220.0,40060,96160.0
New York State,Healthcare Support Occupations,662980.0,38380,38440.0,30720,42200.0
New York State,Home Health & Personal Care Aides,478620.0,35750,32390.0,30490,38380.0
New York State,Nursing Assistants,85590.0,43400,40660.0,34060,48070.0
New York State,Orderlies,3950.0,43250,41610.0,33350,48200.0
New York State,Psychiatric Aides,5230.0,48720,50700.0,39270,53450.0
New York State,Occupational Therapy Assistants,2140.0,69030,65660.0,49510,78780.0
New York State,Physical Therapist Assistants,3690.0,64330,65240.0,48020,72480.0
New York State,Physical Therapist Aides,3130.0,37680,34950.0,30370,41330.0
New York State,Massage Therapists,4050.0,55670,50770.0,37180,64920.0
New York State,Dental Assistants,20190.0,47330,50030.0,37260,52360.0
New York State,Medical Assistants,31580.0,44900,40360.0,35770,49470.0
New York State,Medical Equipment Preparers,4940.0,48810,50260.0,36740,54850.0
New York State,Medical Transcriptionists,3510.0,37210,32390.0,29500,41060.0
New York State,Pharmacy Aides,2680.0,35520,31600.0,30060,38240.0
New York State,Veterinary Assistants and Laboratory Animal Caretakers,3930.0,39300,38610.0,31020,43450.0
New York State,Phlebotomists,6440.0,48570,49410.0,36990,54370.0
New York State,"Healthcare Support Workers, All Other",3260.0,46690,43440.0,34550,52760.0
New York State,Protective Service Occupations,284170.0,65310,53130.0,36230,79850.0
New York State,First-Line Supervisors of Correctional Officers,4030.0,106460,105230.0,79320,120030.0
New York State,First-Line Supervisors of Police and Detectives,10080.0,133710,114600.0,93860,153640.0
New York State,First-Line Supervisors of Fire Fighting and Prevention Workers,3170.0,126670,135510.0,92940,143540.0
New York State,First-Line Supervisors of Security Workers,5980.0,67440,64370.0,44450,78930.0
New York State,"First-Line Supervisors of Protective Service Workers, All Other",2330.0,81980,74990.0,55690,95130.0
New York State,Firefighters,10640.0,77560,83750.0,59190,86740.0
New York State,Fire Inspectors and Investigators,1380.0,77440,69050.0,55640,88340.0
New York State,Bailiffs,3950.0,71920,83770.0,52840,81450.0
New York State,Correctional Officers and Jailers,34270.0,75970,68320.0,58190,84860.0
New York State,Detectives and Criminal Investigators,10190.0,115110,106640.0,70470,137430.0
New York State,Fish and Game Wardens,380.0,72590,65830.0,61320,78220.0
New York State,Parking Enforcement Workers,430.0,54690,50780.0,39100,62480.0
New York State,Police and Sheriff's Patrol Officers,49910.0,85800,84410.0,55540,100940.0
New York State,Transit and Railroad Police,620.0,68050,54540.0,54540,74810.0
New York State,Animal Control Workers,780.0,53320,47730.0,37360,61310.0
New York State,Private Detectives and Investigators,1220.0,74230,68090.0,51720,85480.0
New York State,Security Guards,110650.0,44530,40340.0,33590,50000.0
New York State,Crossing Guards,10000.0,42090,40350.0,31190,47550.0
New York State,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",4490.0,35800,33270.0,29430,38980.0
New York State,Transportation Security Screeners,3360.0,49490,50180.0,43330,52570.0
New York State,School Bus Monitors,14890.0,36190,33810.0,30510,39030.0
New York State,"Protective Service Workers, All Other",1330.0,50840,43440.0,35820,58350.0
New York State,Food Preparation and Serving Related Occupations,546450.0,39530,32730.0,30080,44250.0
New York State,Chefs and Head Cooks,12390.0,69280,63730.0,43630,82110.0
New York State,First-Line Supervisors of Food Preparation and Serving Workers,47130.0,50990,41770.0,34720,59120.0
New York State,"Cooks, Fast Food",12780.0,34470,32250.0,30060,36680.0
